,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Top5Budget
0,1995-96,2/9/1995,La Coruna,Valencia,3,0,H,2,0,H,False
1,1995-96,2/9/1995,Sp Gijon,Albacete,3,0,H,3,0,H,False
2,1995-96,3/9/1995,Ath Bilbao,Santander,4,0,H,2,0,H,False
3,1995-96,3/9/1995,Ath Madrid,Sociedad,4,1,H,1,1,D,True
4,1995-96,3/9/1995,Celta,Compostela,0,1,A,0,0,D,False
5,1995-96,3/9/1995,Espanol,Salamanca,3,1,H,2,1,H,False
6,1995-96,3/9/1995,Merida,Betis,1,1,D,1,1,D,False
7,1995-96,3/9/1995,Sevilla,Tenerife,0,1,A,0,0,D,True
8,1995-96,3/9/1995,Valladolid,Barcelona,0,2,A,0,0,D,False
9,1995-96,3/9/1995,Vallecano,Real Madrid,1,5,A,0,1,A,False
10,1995-96,3/9/1995,Zaragoza,Oviedo,1,0,H,1,0,H,False
11,1995-96,9/9/1995,Albacete,Sevilla,3,2,H,2,1,H,False
12,1995-96,9/9/1995,Barcelona,Merida,2,2,D,1,1,D,True
13,1995-96,9/9/1995,Betis,Zaragoza,3,1,H,2,0,H,False
14,1995-96,9/9/1995,Real Madrid,Ath Bilbao,1,2,A,0,0,D,True
15,1995-96,10/9/1995,Compostela,La Coruna,4,0,H,2,0,H,False
16,1995-96,10/9/1995,Oviedo,Vallecano,2,0,H,1,0,H,False
17,1995-96,10/9/1995,Salamanca,Celta,0,1,A,0,0,D,False
18,1995-96,10/9/1995,Santander,Ath Madrid,0,4,A,0,0,D,False
19,1995-96,10/9/1995,Sociedad,Sp Gijon,2,0,H,1,0,H,False
20,1995-96,10/9/1995,Tenerife,Espanol,1,4,A,0,2,A,False
21,1995-96,10/9/1995,Valencia,Valladolid,1,0,H,0,0,D,True
22,1995-96,16/09/1995,Ath Bilbao,Ath Madrid,0,2,A,0,1,A,False
23,1995-96,17/09/1995,Celta,Tenerife,2,2,D,2,2,D,False
24,1995-96,17/09/1995,Espanol,Albacete,1,0,H,0,0,D,False
25,1995-96,17/09/1995,La Coruna,Salamanca,2,0,H,1,0,H,False
26,1995-96,17/09/1995,Merida,Valencia,0,2,A,0,0,D,False
27,1995-96,17/09/1995,Real Madrid,Oviedo,2,3,A,2,2,D,True
28,1995-96,17/09/1995,Sevilla,Sociedad,2,1,H,1,1,D,True
29,1995-96,17/09/1995,Sp Gijon,Santander,4,2,H,2,1,H,False
30,1995-96,17/09/1995,Valladolid,Compostela,0,0,D,0,0,D,False
31,1995-96,17/09/1995,Vallecano,Betis,1,2,A,1,1,D,False
32,1995-96,17/09/1995,Zaragoza,Barcelona,0,3,A,0,0,D,False
33,1995-96,23/09/1995,Barcelona,Vallecano,2,0,H,1,0,H,True
34,1995-96,23/09/1995,Betis,Real Madrid,0,0,D,0,0,D,False
35,1995-96,23/09/1995,Santander,Sevilla,1,1,D,1,1,D,False
36,1995-96,24/09/1995,Albacete,Celta,4,0,H,0,0,D,False
37,1995-96,24/09/1995,Ath Madrid,Sp Gijon,2,0,H,1,0,H,True
38,1995-96,24/09/1995,Compostela,Merida,1,0,H,1,0,H,False
39,1995-96,24/09/1995,Oviedo,Ath Bilbao,0,0,D,0,0,D,False
40,1995-96,24/09/1995,Salamanca,Valladolid,0,0,D,0,0,D,False
41,1995-96,24/09/1995,Sociedad,Espanol,0,1,A,0,1,A,False
42,1995-96,24/09/1995,Tenerife,La Coruna,1,1,D,0,0,D,False
43,1995-96,24/09/1995,Valencia,Zaragoza,0,0,D,0,0,D,True
44,1995-96,30/09/1995,Ath Bilbao,Sp Gijon,2,1,H,1,0,H,False
45,1995-96,30/09/1995,Real Madrid,Barcelona,1,1,D,1,1,D,True
46,1995-96,1/10/1995,Celta,Sociedad,1,1,D,1,1,D,False
47,1995-96,1/10/1995,Espanol,Santander,1,0,H,0,0,D,False
48,1995-96,1/10/1995,La Coruna,Albacete,5,0,H,1,0,H,False
49,1995-96,1/10/1995,Merida,Salamanca,0,0,D,0,0,D,False
50,1995-96,1/10/1995,Oviedo,Betis,0,1,A,0,1,A,False
51,1995-96,1/10/1995,Sevilla,Ath Madrid,0,0,D,0,0,D,True
52,1995-96,1/10/1995,Valladolid,Tenerife,3,0,H,2,0,H,False
